sample,reaction,weight
PknF_IND3,PHTHS,0.0
PknF_IND3,PHTHS2,0.0
PknF_IND3,PHYCBOXL,0.0
PknF_IND3,PIabc,1.0
PknF_IND3,PLCD,-1.0
PknF_IND3,PLIPA1E160,0.0
PknF_IND3,PLIPA1E180,0.0
PknF_IND3,PMANM,0.0
PknF_IND3,PMDPHT,0.0
PknF_IND3,PMPK,0.0
PknF_IND3,PNCDC,0.0
PknF_IND3,PNTK,0.0
PknF_IND3,PPA,0.0
PknF_IND3,PPAtr,0.0
PknF_IND3,PPBNGS,1.0
PknF_IND3,PPCDC,1.0
PknF_IND3,PPCOAC,0.0
PknF_IND3,PPDIMAS,0.0
PknF_IND3,PPDIMAT,0.0
PknF_IND3,PPDK,0.0
PknF_IND3,PPGKr,0.0
PknF_IND3,PPK2,0.0
PknF_IND3,PPNCL3,1.0
PknF_IND3,PPND,0.0
PknF_IND3,PPNDH,0.0
PknF_IND3,PPPGO,0.0
PknF_IND3,PPTGS,0.0
PknF_IND3,PPTGS_TB1,0.0
PknF_IND3,PPTGS_TB2,0.0
PknF_IND3,PRAGSr,-1.0
PknF_IND3,PRAIS,1.0
PknF_IND3,PRAIi,0.0
PknF_IND3,PRAMPC,0.0
PknF_IND3,PRASCS,0.0
PknF_IND3,PRATPP,0.0
PknF_IND3,PRDX,0.0
PknF_IND3,PREPHACPH,0.0
PknF_IND3,PREPPACPH,0.0
PknF_IND3,PREPTHS,0.0
PknF_IND3,PREPTHS2,0.0
PknF_IND3,PREPTTA,0.0
PknF_IND3,PRFGS,0.0
PknF_IND3,PRMICIi,0.0
PknF_IND3,PROD2,0.0
PknF_IND3,PROabc,0.0
PknF_IND3,PROt2r,0.0
PknF_IND3,PRPPS,0.0
PknF_IND3,PSCVT,0.0
PknF_IND3,PSD160,0.0
PknF_IND3,PSERT,0.0
PknF_IND3,PSP_L,0.0
PknF_IND3,PSSA160,0.0
PknF_IND3,PTAr,0.0
PknF_IND3,PTPATi,0.0
PknF_IND3,PUNP1,0.0
PknF_IND3,PUNP2,0.0
PknF_IND3,PUNP3,0.0
PknF_IND3,PUNP4,0.0
PknF_IND3,PUNP5,0.0
PknF_IND3,PUNP6,0.0
PknF_IND3,PUNP7,0.0
PknF_IND3,PYAM5PO,1.0
PknF_IND3,PYDXNO,-1.0
PknF_IND3,PYDXO,-1.0
PknF_IND3,PYK,0.0
PknF_IND3,PYRDC,0.0
PknF_IND3,PYRt2r,0.0
PknF_IND3,QRr,0.0
PknF_IND3,QULNS,1.0
PknF_IND3,R05217,0.0
PknF_IND3,R05219,0.0
PknF_IND3,R05224,0.0
PknF_IND3,RBFK,0.0
PknF_IND3,RBFSa,0.0
PknF_IND3,RBFSb,0.0
PknF_IND3,RBK,0.0
PknF_IND3,RIBabc,0.0
PknF_IND3,RNDR1,0.0
PknF_IND3,RNDR2,0.0
PknF_IND3,RNDR3,0.0
PknF_IND3,RNDR4,0.0
PknF_IND3,RNTR4,0.0
PknF_IND3,RPE,0.0
PknF_IND3,RPI,0.0
PknF_IND3,RPPDIMAS,0.0
PknF_IND3,RRPPDIMAS,0.0
PknF_IND3,RZ5PP,-1.0
PknF_IND3,SADH,0.0
PknF_IND3,SADT,0.0
PknF_IND3,SDPDS,0.0
PknF_IND3,SDPTA,0.0
PknF_IND3,SERAT,0.0
PknF_IND3,SERD_D,0.0
PknF_IND3,SERD_L,0.0
PknF_IND3,SERt2r,-1.0
PknF_IND3,SGDS,0.0
PknF_IND3,SGSAD,0.0
PknF_IND3,SHCHD2,0.0
PknF_IND3,SHCHD3,0.0
PknF_IND3,SHCHF,1.0
PknF_IND3,SHK3Dr,0.0
PknF_IND3,SHKK,0.0
PknF_IND3,SHSL1r,1.0
PknF_IND3,SHSL4r,1.0
PknF_IND3,SKMt2,0.0
PknF_IND3,SOTA,0.0
PknF_IND3,SPMS,0.0
PknF_IND3,SPODM,0.0
PknF_IND3,SSALx,0.0
PknF_IND3,SSALy,0.0
PknF_IND3,SUCBZL,-1.0
PknF_IND3,SUCBZS,0.0
PknF_IND3,SUCCt2r,0.0
PknF_IND3,SUCD1i,0.0
PknF_IND3,SUCOAS,0.0
PknF_IND3,SULabc,0.0
PknF_IND3,TALA,0.0
PknF_IND3,TARTD,0.0
PknF_IND3,TARTRt7,0.0
PknF_IND3,TATS,0.0
PknF_IND3,TDMS1,0.0
PknF_IND3,TDMS2,0.0
PknF_IND3,TDMS3,0.0
PknF_IND3,TDMS4,0.0
PknF_IND3,TDPDRE,0.0
PknF_IND3,TDPDRR,0.0
PknF_IND3,TDPGDH,0.0
PknF_IND3,THDPS,0.0
PknF_IND3,THFGLUS,0.0
PknF_IND3,THMDP,-1.0
PknF_IND3,THRD_Lr,0.0
PknF_IND3,THRS,1.0
PknF_IND3,THRt2r,0.0
PknF_IND3,THZPSN,0.0
PknF_IND3,TKT1,0.0
PknF_IND3,TKT2,0.0
PknF_IND3,TMDK1,0.0
PknF_IND3,TMDPP,-1.0
PknF_IND3,TMDS,0.0
PknF_IND3,TMHAS1,0.0
PknF_IND3,TMHAS2,0.0
PknF_IND3,TMHAS3,0.0
PknF_IND3,TMHAS4,0.0
PknF_IND3,TMHAS5,0.0
PknF_IND3,TMHAS6,0.0
PknF_IND3,TMN,0.0
PknF_IND3,TMPKr,0.0
PknF_IND3,TMPPP,0.0
PknF_IND3,TPI,0.0
PknF_IND3,TRDR,0.0
PknF_IND3,TRE6PP,1.0
PknF_IND3,TRE6PS,1.0
PknF_IND3,TRESULT,0.0
PknF_IND3,TREabc,0.0
PknF_IND3,TRIATS,0.0
PknF_IND3,TRPS1,0.0
PknF_IND3,TRPS2,0.0
PknF_IND3,TRPS3,0.0
PknF_IND3,TRPTA,0.0
PknF_IND3,TRPt2r,0.0
PknF_IND3,TSULabc,0.0
PknF_IND3,TTDCAt2,0.0
PknF_IND3,TYRTA,0.0
PknF_IND3,TYRt2r,0.0
PknF_IND3,UAAGDS,0.0
PknF_IND3,UAAGLS1,0.0
PknF_IND3,UAAGLS2,0.0
PknF_IND3,UAGCVT,0.0
PknF_IND3,UAGDP,0.0
PknF_IND3,UAGPT1,0.0
PknF_IND3,UAGPT2,0.0
PknF_IND3,UAGPT3,0.0
PknF_IND3,UAMAGS,0.0
PknF_IND3,UAMAS,0.0
PknF_IND3,UAMRH,0.0
PknF_IND3,UAPGR,0.0
PknF_IND3,UDCPDP,1.0
PknF_IND3,UDCPDPS,0.0
PknF_IND3,UDPDPS,0.0
PknF_IND3,UDPDPS2,0.0
PknF_IND3,UDPG4E,1.0
PknF_IND3,UDPGALM,0.0
PknF_IND3,UDPGD,-1.0
PknF_IND3,UGAGDS,0.0
PknF_IND3,UGGPT3,0.0
PknF_IND3,UGLDDS1,0.0
PknF_IND3,UGLDDS2,0.0
PknF_IND3,UGMAGS,0.0
PknF_IND3,UGMAS,0.0
PknF_IND3,UGMDDS,0.0
PknF_IND3,UGMDDS2,0.0
PknF_IND3,UMPK,0.0
PknF_IND3,UPP3MT,0.0
PknF_IND3,UPP3S,1.0
PknF_IND3,UPPDC1,0.0
PknF_IND3,UPPDC2,0.0
PknF_IND3,UPPRT,0.0
PknF_IND3,UREA,-1.0
PknF_IND3,URIDK2r,0.0
PknF_IND3,URIK2,0.0
PknF_IND3,VALTA,0.0
PknF_IND3,VALt2r,0.0
PknF_IND3,XPPT,0.0
PknF_IND3,XYLK,-1.0
PknF_IND3,YUMPS,0.0
PknF_IND3,S7PI,0.0
PknF_IND3,GMHEPK,0.0
PknF_IND3,HMEDS,1.0
PknF_IND3,HMEDR,1.0
PknF_IND3,FRTT,0.0
PknF_IND3,2MCD,0.0
PknF_IND3,2MCS,0.0
PknF_IND3,2MID,1.0
PknF_IND3,2MIL,0.0
PknF_IND3,Gln_LT,0.0
PknF_IND3,TREP,0.0
PknF_IND3,HDECH,0.0
PknF_IND3,DTBTST,0.0
PknF_IND3,IPDPUDCT,0.0
PknF_IND3,ACHMSSH,0.0
PknF_IND3,PDBL_1,0.0
PknF_IND3,PDBL_2,0.0
PknF_IND3,PDBL_3,0.0
PknF_IND3,PDBL_4,0.0
PknF_IND3,EX_ni2,0.0
PknF_IND3,Ni2t,0.0
PknF_IND3,EX_mn2,0.0
PknF_IND3,Mn2t,-1.0
PknF_IND3,2O4EH,0.0
PknF_IND3,G6PDH,-1.0
PknF_IND3,2PLS,0.0
PknF_IND3,LPPGS,0.0
PknF_IND3,DMHDRFS,1.0
PknF_IND3,LPFPLT,0.0
PknF_IND3,GF4GL_0,0.0
PknF_IND3,GF4GL_1,0.0
PknF_IND3,MBP_1,-1.0
PknF_IND3,FAD_1,0.0
PknF_IND3,FAD_2,0.0
PknF_IND3,FAD_3,0.0
PknF_IND3,FAD_4,0.0
PknF_IND3,FAD_5,0.0
PknF_IND3,FAD_6,0.0
PknF_IND3,FAD_7,0.0
PknF_IND3,FAD_8,0.0
PknF_IND3,FAD_9,0.0
PknF_IND3,FAD_10,0.0
PknF_IND3,FAD_11,0.0
PknF_IND3,FAD_12,0.0
PknF_IND3,FAD_13,0.0
PknF_IND3,FAD_14,0.0
PknF_IND3,FAD_15,0.0
PknF_IND3,FAD_16,0.0
PknF_IND3,FAD_17,0.0
PknF_IND3,FAD_18,0.0
PknF_IND3,FAD_19,0.0
PknF_IND3,FAD_20,0.0
PknF_IND3,FAD_21,0.0
PknF_IND3,FAD_22,0.0
PknF_IND3,FAD_23,0.0
PknF_IND3,FAD_24,0.0
PknF_IND3,FAD_25,0.0
PknF_IND3,FAD_26,0.0
PknF_IND3,FAD_27,0.0
PknF_IND3,3HIBD,0.0
PknF_IND3,ALDR,0.0
PknF_IND3,AL4D,0.0
PknF_IND3,MANT1,0.0
PknF_IND3,ARABT,0.0
PknF_IND3,HOAS,0.0
PknF_IND3,SR1,0.0
PknF_IND3,SR2,0.0
PknF_IND3,MR,0.0
PknF_IND3,GLYCS_I,1.0
PknF_IND3,GLYCS_II,0.0
PknF_IND3,LALDD,0.0
PknF_IND3,CYST_II,1.0
PknF_IND3,FUSA1,1.0
PknF_IND3,ISCS,0.0
PknF_IND3,GLYTRS,0.0
PknF_IND3,SELCYSS,0.0
PknF_IND3,TYRTRS,0.0
PknF_IND3,biomass,0.0
PknF_IND3,ECHA20,0.0
PknF_IND3,CHOL1,0.0
PknF_IND3,FADE282,0.0
PknF_IND3,HOPNTAL2,0.0
PknF_IND3,ECHA192,0.0
PknF_IND3,HSA,0.0
PknF_IND3,FADB3,0.0
PknF_IND3,FADB2,0.0
PknF_IND3,CHCD,0.0
PknF_IND3,HDAD,0.0
PknF_IND3,CHOD,1.0
PknF_IND3,3HSA,0.0
PknF_IND3,HSAC,0.0
PknF_IND3,HSAE,0.0
PknF_IND3,HIAA,0.0
PknF_IND3,IPDAB,-1.0
PknF_IND3,KSH,0.0
PknF_IND3,ECHA193,-1.0
PknF_IND3,CYP1,0.0
PknF_IND3,HIPB,0.0
PknF_IND3,HIPA,0.0
PknF_IND3,CHOLCOA,-1.0
PknF_IND3,ECHA191,0.0
PknF_IND3,FADE30,-1.0
PknF_IND3,CYP3,0.0
PknF_IND3,CYP2,0.0
PknF_IND3,PRCOA1,-1.0
PknF_IND3,FADE281,-1.0
PknF_IND3,FADD3,-1.0
PknF_IND3,KSTD,0.0
PknF_IND3,FADD17,0.0
PknF_IND3,FADE51,0.0
PknF_IND3,FADE52,0.0
PknF_IND3,HIAt,0.0
PknF_IND3,MACCOAT,1.0
PknF_IND3,ACCOAC,1.0
PknF_IND3,CHSTEROLt,0.0
PknF_IND3,EX_chsterol,0.0
PknF_IND3,MOEA1,0.0
PknF_IND3,MPTAT,0.0
PknF_IND3,MOBA,0.0
PknF_IND3,MOAE1,-1.0
PknF_IND3,MOEB1,0.0
PknF_IND3,MOBDabc,0.0
PknF_IND3,MOBDabc_rev,0.0
PknF_IND3,PHBADA,0.0
PknF_IND3,PHBADB,0.0
PknF_IND3,PHBADC,0.0
PknF_IND3,PHBADD,0.0
PknF_IND3,INO1,1.0
PknF_IND3,NAGINSP,1.0
PknF_IND3,NAGINS,0.0
PknF_IND3,LAT,1.0
PknF_IND3,KGD2,1.0
PknF_IND3,ASPO6,1.0
PknF_IND3,ECOAH12,1.0
PknF_IND3,FADE233,1.0
PknF_IND3,BKDC,0.0
PknF_IND3,BKDA2,0.0
PknF_IND3,3HBCOAHL,0.0
PknF_IND3,AKGDa,0.0
PknF_IND3,ACt2r,0.0
PknF_IND3,EX_4hba,0.0
PknF_IND3,4HBAt,0.0
PknF_IND3,4ABZt,0.0
PknF_IND3,CHLabc_rev,0.0
PknF_IND3,GCALDD,0.0
PknF_IND3,PYDXNtr,0.0
PknF_IND3,EX_pydxn,0.0
PknF_IND3,GLYALDDr,0.0
PknF_IND3,FORt,0.0
PknF_IND3,GLYCLTt,0.0
PknF_IND3,EX_glyclt,0.0
PknF_IND3,NO3t2,0.0
PknF_IND3,ROSFE,0.0
PknF_IND3,MNabc_rev,0.0
PknF_IND3,COBC,-1.0
PknF_IND3,ADOCBLabc,0.0
PknF_IND3,COB2,0.0
PknF_IND3,CBL2OR,0.0
PknF_IND3,DRBK,0.0
PknF_IND3,5DOAN,0.0
PknF_IND3,AKGt2r,0.0
PknF_IND3,EX_co,0.0
PknF_IND3,PHEMEt,0.0
PknF_IND3,EX_pheme,0.0
PknF_IND3,HEMEOS,0.0
PknF_IND3,HEMEAS_1,0.0
PknF_IND3,GSEALD,0.0
PknF_IND3,CPPPGO2,0.0
PknF_IND3,EX_hia,0.0
PknF_IND3,L_LACDcm,1.0
PknF_IND3,FPRA,0.0
PknF_IND3,COCO2,-1.0
PknF_IND3,ACALDt,0.0
PknF_IND3,EX_acald,0.0
PknF_IND3,NMO,0.0
PknF_IND3,OCDCEAt,0.0
PknF_IND3,EX_ocdcea,0.0
PknF_IND3,UREAt,0.0
PknF_IND3,PAPA1,0.0
PknF_IND3,PAPA2,0.0
PknF_IND3,MMPL8,0.0
PknF_IND3,PKS2,1.0
PknF_IND3,MAS3,1.0
PknF_IND3,EX_gln_L,0.0
PknF_IND3,SIRA2,1.0
PknF_IND3,APSR,1.0
PknF_IND3,SHSL2r,0.0
PknF_IND3,CYSK2_I,1.0
PknF_IND3,CYSM_I,0.0
PknF_IND3,CYSM_II,0.0
PknF_IND3,CYSO_I,0.0
PknF_IND3,CYSO_II,0.0
PknF_IND3,THMP,0.0
PknF_IND3,VIUB,0.0
PknF_IND3,MBTK3,0.0
PknF_IND3,MBTG,0.0
PknF_IND3,MBTA3,-1.0
PknF_IND3,ALCD2x,0.0
PknF_IND3,ETOHt2r,0.0
PknF_IND3,EX_etoh,0.0
PknF_IND3,MTAP,-1.0
PknF_IND3,PKS122,0.0
PknF_IND3,PKS121,0.0
PknF_IND3,ORNDC,0.0
PknF_IND3,MBTA1,-1.0
PknF_IND3,HACD9,1.0
PknF_IND3,ECOAH9ir,1.0
PknF_IND3,OIVD3,1.0
PknF_IND3,BKDC1,0.0
PknF_IND3,MAK,0.0
PknF_IND3,GLGE,0.0
PknF_IND3,TREY,0.0
PknF_IND3,GLGB,0.0
PknF_IND3,GLGP,0.0
PknF_IND3,AMYL2,0.0
PknF_IND3,PYRD1,0.0
PknF_IND3,SHCHCS3,0.0
PknF_IND3,SEPHCHCS,0.0
PknF_IND3,SALSYN,0.0
PknF_IND3,APRO,0.0
PknF_IND3,AOBUTDs,0.0
PknF_IND3,THRD,0.0
PknF_IND3,EX_adocbl,0.0
PknF_IND3,DMBI,0.0
PknF_IND3,BARB,0.0
PknF_IND3,HETZK,0.0
PknF_IND3,PYDXNK,0.0
PknF_IND3,EX_mobd,0.0
PknF_IND3,TBSYNLDPS,0.0
PknF_IND3,TBSNLS1,-1.0
PknF_IND3,TBSNLS2,-1.0
PknF_IND3,TBSNLS3,-1.0
PknF_IND3,BKDA1,0.0
PknF_IND3,BPNT2,1.0
PknF_IND3,GLPD2,0.0
PknF_IND3,G3PD1ir,0.0
PknF_IND3,G3PT,0.0
PknF_IND3,DHORD2,0.0
PknF_IND3,PPAKr,0.0
PknF_IND3,PTA2,0.0
PknF_IND3,EMB,0.0
PknF_IND3,BTNt,0.0
PknF_IND3,EX_btn,0.0
PknF_IND3,GXRA,0.0
PknF_IND3,OPP,0.0
PknF_IND3,HEXTT,0.0
PknF_IND3,PPTTm,0.0
PknF_IND3,GGTT,-1.0
PknF_IND3,ACYP_2,0.0
PknF_IND3,GTPDPDP,0.0
PknF_IND3,PPGPPDP,0.0
PknF_IND3,AKGDH,0.0
PknF_IND3,EX_nodcoa,0.0
PknF_IND3,NODCOAt,0.0
PknF_IND3,EX_octscoa,0.0
PknF_IND3,OCTSCOAt,0.0
PknF_IND3,ATPM,0.0
PknF_IND3,VPAMTr,-1.0
PknF_IND3,EGTB,0.0
PknF_IND3,EGTC,0.0
PknF_IND3,EGTE,0.0
PknF_IND3,TMDS3,-1.0
PknF_IND3,MHUD1,1.0
PknF_IND3,OTSB1,1.0
PknF_IND3,MYCOPP,1.0
PknF_IND3,TMMYCO,0.0
PknF_IND3,MYCOE,0.0
PknF_IND3,PPM1,0.0
PknF_IND3,PEPA,0.0
PknF_IND3,NADDP,0.0
PknF_IND3,NMNAT,0.0
PknF_IND3,EGTD,0.0
PknF_IND3,ACONMT,0.0
PknF_IND3,MANPGH,-1.0
PknF_IND3,EPH,0.0
PknF_IND3,FBPA,0.0
PknF_IND3,DGTP8DETOX,0.0
PknF_IND3,DGTP8OXO,0.0
PknF_IND3,GTP8OXO,0.0
PknF_IND3,TAG,1.0
PknF_IND3,LIPY,-1.0
PknF_IND3,LIPW,1.0
PknF_IND3,CHOLK,0.0
PknF_IND3,PC_TBt,0.0
PknF_IND3,BIRA,0.0
PknF_IND3,ACCD3,0.0
PknF_IND3,ACCA3,1.0
PknF_IND3,GMHEPPA,-1.0
PknF_IND3,ALCD19y,0.0
PknF_IND3,EX_pc_TB,0.0
PknF_IND3,DM_ergoth_c,0.0
PknF_IND3,DM_tbsinol_c,0.0
PknF_IND3,DM_isotbsinol__13S_c,0.0
PknF_IND3,DM_isotbsinol__13R_c,0.0
PknF_IND3,DM_psd5p_c,0.0
PknF_IND3,DM_cpppg1_c,0.0
PknF_IND3,DM_scys__L_c,0.0
PknF_IND3,DM_gmhep1p_c,0.0
PknG_KO1,2AGPEAT160,0.0
PknG_KO1,2AGPEAT180,0.0
PknG_KO1,5DGLCNR,-1.0
PknG_KO1,AACPS10,0.0
PknG_KO1,AACPS11,0.0
PknG_KO1,AACPS3,0.0
PknG_KO1,ABTA,0.0
PknG_KO1,ACACT1r,1.0
PknG_KO1,ACALDi,0.0
PknG_KO1,ACBIPGT,0.0
PknG_KO1,ACCC,0.0
PknG_KO1,ACChex,0.0
PknG_KO1,ACGAMPM,0.0
PknG_KO1,ACGAMT,0.0
PknG_KO1,ACGK,0.0
PknG_KO1,ACGS,0.0
PknG_KO1,ACHBS,0.0
PknG_KO1,ACKr,0.0
PknG_KO1,ACLS,0.0
PknG_KO1,ACODA,0.0
PknG_KO1,ACONT,0.0
PknG_KO1,ACOTA,0.0
PknG_KO1,ACP1_FMN,0.0
PknG_KO1,ACPS1,0.0
PknG_KO1,ACS,0.0
PknG_KO1,ACS2,0.0
PknG_KO1,ACYSBMNt,0.0
PknG_KO1,ADA,-1.0
PknG_KO1,ADCL,0.0
PknG_KO1,ADCPS1,0.0
PknG_KO1,ADCPS2,0.0
PknG_KO1,ADCS,0.0
PknG_KO1,ADCYRS,0.0
PknG_KO1,ADK1,0.0
PknG_KO1,ADK2,0.0
PknG_KO1,ADMDCr,0.0
PknG_KO1,ADNCYC,0.0
PknG_KO1,ADNK1,1.0
PknG_KO1,ADNK3,1.0
PknG_KO1,ADNK4,1.0
PknG_KO1,ADOCBIK,0.0
PknG_KO1,ADOCBLS,0.0
PknG_KO1,ADPT,1.0
PknG_KO1,ADSK,1.0
PknG_KO1,ADSL1r,0.0
PknG_KO1,ADSL2r,0.0
PknG_KO1,ADSS,0.0
PknG_KO1,AFTA,-1.0
PknG_KO1,AGDC,0.0
PknG_KO1,AGMT,0.0
PknG_KO1,AGPAT160,1.0
PknG_KO1,AGPAT160190,1.0
PknG_KO1,AGPAT190,1.0
PknG_KO1,AGPR,0.0
PknG_KO1,AHC,1.0
PknG_KO1,AHCYSNS,-1.0
PknG_KO1,AHMMPS,0.0
PknG_KO1,AICART,0.0
PknG_KO1,AIRCr,0.0
PknG_KO1,AKGDb,1.0
PknG_KO1,ALAALAD,0.0
PknG_KO1,ALAALAr,0.0
PknG_KO1,ALAD_L,1.0
PknG_KO1,ALAR,0.0
PknG_KO1,ALAt2r,0.0
PknG_KO1,ALDD1,0.0
PknG_KO1,ALDD19x,0.0
PknG_KO1,ALDD2x,0.0
PknG_KO1,AMAOTr,0.0
PknG_KO1,AMID4,0.0
PknG_KO1,AMMQT8,0.0
PknG_KO1,AMMQT8_2,0.0
PknG_KO1,AMPTASECG,0.0
PknG_KO1,ANPRT,0.0
PknG_KO1,ANS,0.0
PknG_KO1,AOXSr,-1.0
PknG_KO1,APRAUR,0.0
PknG_KO1,ARACHTA,0.0
PknG_KO1,ARB_Dabc,0.0
PknG_KO1,ARBabc,0.0
PknG_KO1,ARBt2r,0.0
PknG_KO1,ARGDC,0.0
PknG_KO1,ARGDr,0.0
PknG_KO1,ARGSL,0.0
PknG_KO1,ARGSS,0.0
PknG_KO1,ARGt5r,0.0
PknG_KO1,ASAD,0.0
PknG_KO1,ASNN,0.0
PknG_KO1,ASNS1,0.0
PknG_KO1,ASNt2r,0.0
PknG_KO1,ASP1DC,0.0
PknG_KO1,ASPCT,0.0
PknG_KO1,ASPK,0.0
PknG_KO1,ASPO5,1.0
PknG_KO1,ASPTA,0.0
PknG_KO1,ASPt2r,0.0
PknG_KO1,AST,0.0
PknG_KO1,ATPPRT,-1.0
PknG_KO1,ATPS4r,0.0
PknG_KO1,BACCL,0.0
PknG_KO1,BALAt2r,0.0
PknG_KO1,BDH,0.0
PknG_KO1,BETALDHx,0.0
PknG_KO1,BMNMSHS,0.0
PknG_KO1,BMNt,0.0
PknG_KO1,BPNT,1.0
PknG_KO1,BTS2,0.0
PknG_KO1,BTS3r,0.0
PknG_KO1,CAATPS,0.0
PknG_KO1,CAT,1.0
PknG_KO1,CAt4,0.0
PknG_KO1,CBIAT,0.0
PknG_KO1,CBLAT,0.0
PknG_KO1,CBPS,0.0
PknG_KO1,CDAPPA160,0.0
PknG_KO1,CDAPPA160190,0.0
PknG_KO1,CDAPPA190,0.0
PknG_KO1,CDPMEK,0.0
PknG_KO1,CDPPT160,0.0
PknG_KO1,CDPPT160190,0.0
PknG_KO1,CHLabc,0.0
PknG_KO1,CHOLD,0.0
PknG_KO1,CHORM,0.0
PknG_KO1,CHORS,1.0
PknG_KO1,CHRPL,0.0
PknG_KO1,CIGAMS,0.0
PknG_KO1,CITLr,0.0
PknG_KO1,CITabc,0.0
PknG_KO1,CLPNS160190,0.0
PknG_KO1,CMCBTFL,-1.0
PknG_KO1,CMCBTFU,-1.0
PknG_KO1,CMLDC,0.0
PknG_KO1,CO2t,0.0
PknG_KO1,COAt,0.0
PknG_KO1,COBALTt5,0.0
PknG_KO1,COCHL,0.0
PknG_KO1,COt,0.0
PknG_KO1,CPC6R,-1.0
PknG_KO1,CPPPGO,0.0
PknG_KO1,CRNabc,0.0
PknG_KO1,CS,1.0
PknG_KO1,CTPS1,0.0
PknG_KO1,CTPS2,0.0
PknG_KO1,CYANST,1.0
PknG_KO1,CYO1a,1.0
PknG_KO1,CYO1b,0.0
PknG_KO1,CYRDAAT,0.0
PknG_KO1,CYRDAR,0.0
PknG_KO1,CYSS,0.0
PknG_KO1,CYSTL,0.0
PknG_KO1,CYSTS,0.0
PknG_KO1,CYTBD,1.0
PknG_KO1,CYTBD2,1.0
PknG_KO1,CYTD,-1.0
PknG_KO1,CYTDK2,0.0
PknG_KO1,CYTDt2r,0.0
PknG_KO1,CYTK1,0.0
PknG_KO1,CYTK2,0.0
PknG_KO1,Clt,0.0
PknG_KO1,Cuabc,1.0
PknG_KO1,Cut1,1.0
PknG_KO1,DADA,0.0
PknG_KO1,DADK,0.0
PknG_KO1,DAGK160,0.0
PknG_KO1,DALAOX,0.0
PknG_KO1,DALAt2r,0.0
PknG_KO1,DAPDC,0.0
PknG_KO1,DAPE,0.0
PknG_KO1,DASYN160,0.0
PknG_KO1,DASYN160190,0.0
PknG_KO1,DASYN190190,0.0
PknG_KO1,DB4PS,0.0
PknG_KO1,DBTSr,0.0
PknG_KO1,DCPDP,1.0
PknG_KO1,DCPDPP,0.0
PknG_KO1,DCPDPS,0.0
PknG_KO1,DCPE,-1.0
PknG_KO1,DCPT,0.0
PknG_KO1,DCTPD,-1.0
PknG_KO1,DCTPD2,-1.0
PknG_KO1,DCYTD,0.0
PknG_KO1,DDPA,0.0
PknG_KO1,DESAT16,1.0
PknG_KO1,DESAT18,1.0
PknG_KO1,DGC3D,0.0
PknG_KO1,DGK1,0.0
PknG_KO1,DHAD1,1.0
PknG_KO1,DHAD2,1.0
PknG_KO1,DHDPRy,0.0
PknG_KO1,DHDPS,1.0
PknG_KO1,DHFR,0.0
PknG_KO1,DHFS,0.0
PknG_KO1,DHNAOT,-1.0
PknG_KO1,DHNPA,1.0
PknG_KO1,DHNPA2,1.0
PknG_KO1,DHORTS,0.0
PknG_KO1,DHPPDA,0.0
PknG_KO1,DHPPDA2,0.0
PknG_KO1,DHPS2,0.0
PknG_KO1,DHQD,0.0
PknG_KO1,DHQS,0.0
PknG_KO1,DMATT,0.0
PknG_KO1,DMPPS,1.0
PknG_KO1,DNMPPA,0.0
PknG_KO1,DNTPPA,0.0
PknG_KO1,DPCOAK,0.0
PknG_KO1,DPPS,0.0
PknG_KO1,DPR,-1.0
PknG_KO1,DRPA,0.0
PknG_KO1,DSERt2r,0.0
PknG_KO1,DTMPK,0.0
PknG_KO1,DURIK1,0.0
PknG_KO1,DURIPP,0.0
PknG_KO1,DUTPDP,0.0
PknG_KO1,DXPRIi,0.0
PknG_KO1,DXPS,0.0
PknG_KO1,ENO,0.0
PknG_KO1,ETHAt,0.0
PknG_KO1,EX_acysbmn,0.0
PknG_KO1,EX_ala_B,0.0
PknG_KO1,EX_ala_D,0.0
PknG_KO1,EX_ala_L,0.0
PknG_KO1,EX_arab_D,0.0
PknG_KO1,EX_arab_L,0.0
PknG_KO1,EX_arg_L,0.0
PknG_KO1,EX_asn_L,0.0
PknG_KO1,EX_asp_L,0.0
PknG_KO1,EX_atp,0.0
PknG_KO1,EX_bmn,0.0
PknG_KO1,EX_ca2,0.0
PknG_KO1,EX_chol,0.0
PknG_KO1,EX_cit,0.0
PknG_KO1,EX_cl,0.0
PknG_KO1,EX_co2,0.0
PknG_KO1,EX_coa,0.0
PknG_KO1,EX_cobalt2,0.0
PknG_KO1,EX_crn,0.0
PknG_KO1,EX_cu2,0.0
PknG_KO1,EX_cytd,0.0
PknG_KO1,EX_etha,0.0
PknG_KO1,EX_fe2,0.0
PknG_KO1,EX_fe3,0.0
PknG_KO1,EX_fum,0.0
PknG_KO1,EX_gal,0.0
PknG_KO1,EX_glc,0.0
PknG_KO1,EX_glu_L,0.0
PknG_KO1,EX_gly,0.0
PknG_KO1,EX_glyb,0.0
PknG_KO1,EX_glyc3p,0.0
PknG_KO1,EX_glyc,0.0
PknG_KO1,EX_gthrd,0.0
PknG_KO1,EX_h2,0.0
PknG_KO1,EX_h2co3,0.0
PknG_KO1,EX_h2o,0.0
PknG_KO1,EX_h2s,0.0
PknG_KO1,EX_h,0.0
PknG_KO1,EX_hdca,0.0
PknG_KO1,EX_his_L,0.0
PknG_KO1,EX_id3acald,0.0
PknG_KO1,EX_ile_L,0.0
PknG_KO1,EX_k,0.0
