sample,reaction,mean_degree_centrality,pagerank,eigenvalue,betweeness,closeness
PknF_IND2,SUCD1i,0.09294727670536033,0.0009002014199001304,0.005600455427514604,0.00046001401314363735,0.0962425815535789
PknF_IND2,SUCOAS,0.0635921123192579,0.000626837968818514,0.005860558373255166,0.0009758678775937278,0.08218881377595871
PknF_IND2,SULabc,0.061444660535607654,0.0006470919414402008,0.0040775218869210355,0.0007529516457909812,0.07727270944022835
PknF_IND2,TALA,0.020607561521457603,0.00035148233708947273,0.0008485831399830206,0.0,0.06349490350364588
PknF_IND2,TARTD,0.0,0.00016017948930633543,1.3453345746102042e-22,0.0,0.0
PknF_IND2,TARTRt7,0.0,0.00016017948930633543,1.3453345746102042e-22,0.0,0.0
PknF_IND2,TATS,0.4255804637339217,0.002498021724968733,0.07589487257715442,0.0,0.10352806312221627
PknF_IND2,TDMS1,0.42533260925103467,0.0024967871753685433,0.07584355568939068,0.0,0.10352768899875167
PknF_IND2,TDMS2,0.42496025776774965,0.002494928675880798,0.07576673364307307,0.0,0.10352712385024924
PknF_IND2,TDMS3,0.168150893503263,0.0012594789412422743,0.02117520510141174,0.001364087796200497,0.10168065256477382
PknF_IND2,TDMS4,0.4254768948905319,0.0024975052251703786,0.07587347056779421,0.0,0.10352790772490797
PknF_IND2,TDPDRE,0.4250847690643881,0.0024955498065729327,0.07579241828446824,0.0,0.10352741526432857
PknF_IND2,TDPDRR,0.4251175685576925,0.0024957134146116303,0.07579918463109842,0.0,0.10352746196938163
