,kinase,metabolite,total_genes,kinase_targets,metabolite_network_size,overlap,p-value,adjusted p-value
7525,PknJ,35cgmp_c,1011,8,40.0,0.0,0.27681969065139134,0.3030894693034433
7526,PknJ,gua_c,1011,8,33.0,0.0,0.23388548566561573,0.27217550687299963
7527,PknJ,xan_c,1011,8,32.0,0.0,0.2275735226226958,0.2659155764641788
7528,PknJ,h2co3_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7529,PknJ,met__L_c,1011,8,30.0,1.0,0.02133769737392298,0.04576621959848513
7530,PknJ,histd_c,1011,8,33.0,0.0,0.23388548566561573,0.27217550687299963
7531,PknJ,his__L_c,1011,8,34.0,0.0,0.24015227105894393,0.27833232669472313
7532,PknJ,hisp_c,1011,8,33.0,0.0,0.23388548566561573,0.27217550687299963
7533,PknJ,ppbng_c,1011,8,14.0,0.0,0.10590785782828555,0.14355024054411106
7534,PknJ,hmbil_c,1011,8,15.0,0.0,0.11308211774541066,0.15168810955634385
7535,PknJ,4ampm_c,1011,8,30.0,0.0,0.21481294665749673,0.25266154480162845
7536,PknJ,4h2opntn_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7537,PknJ,hom__L_c,1011,8,16.0,0.0,0.12020595615709405,0.1600180662195276
7538,PknJ,achms_c,1011,8,17.0,0.0,0.12727967711261487,0.16744676741153394
7539,PknJ,phom_c,1011,8,17.0,0.0,0.12727967711261487,0.16744676741153394
7540,PknJ,suchms_c,1011,8,16.0,0.0,0.12020595615709405,0.1600180662195276
7541,PknJ,imacp_c,1011,8,33.0,0.0,0.23388548566561573,0.27217550687299963
7542,PknJ,hxan_c,1011,8,28.0,0.0,0.201868294936199,0.23941123986491575
7543,PknJ,mi1p__D_c,1011,8,19.0,0.0,0.1412779752113312,0.18311093410507603
7544,PknJ,iacgam_c,1011,8,25.0,0.0,0.18210120037654814,0.2282267964031082
7545,PknJ,ichor_c,1011,8,27.0,0.0,0.19532623177993846,0.23353195084854553
7546,PknJ,id3acald_c,1011,8,42.0,0.0,0.28869315546475943,0.31358639143670786
7547,PknJ,prlp_c,1011,8,39.0,0.0,0.27081819430824944,0.2977597861844585
7548,PknJ,eig3p_c,1011,8,32.0,0.0,0.2275735226226958,0.2659155764641788
7549,PknJ,2cpr5p_c,1011,8,32.0,0.0,0.2275735226226958,0.2659155764641788
7550,PknJ,3ig3p_c,1011,8,33.0,0.0,0.23388548566561573,0.27217550687299963
7551,PknJ,ile__L_c,1011,8,19.0,0.0,0.1412779752113312,0.18311093410507603
7552,PknJ,indpyr_c,1011,8,41.0,0.0,0.28277792183037065,0.308935266542649
7553,PknJ,rib__D_c,1011,8,22.0,0.0,0.16190705505742592,0.2055504909646496
7554,PknJ,3c2hmp_c,1011,8,17.0,0.0,0.12727967711261487,0.16744676741153394
7555,PknJ,3c4mop_c,1011,8,18.0,0.0,0.13430358313182936,0.1754843885383159
7556,PknJ,2ippm_c,1011,8,17.0,0.0,0.12727967711261487,0.16744676741153394
7557,PknJ,3c3hmp_c,1011,8,15.0,0.0,0.11308211774541066,0.15168810955634385
7558,PknJ,k_c,1011,8,14.0,0.0,0.10590785782828555,0.14355024054411106
7559,PknJ,lcts_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7560,PknJ,lac__L_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7561,PknJ,leu__L_c,1011,8,19.0,0.0,0.1412779752113312,0.18311093410507603
7562,PknJ,4mop_c,1011,8,18.0,0.0,0.13430358313182936,0.1754843885383159
7563,PknJ,malt_c,1011,8,20.0,0.0,0.14820315283059465,0.19023375758833885
7564,PknJ,malthp_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7565,PknJ,man1p_c,1011,8,18.0,0.0,0.13430358313182936,0.1754843885383159
7566,PknJ,man6p_c,1011,8,18.0,0.0,0.13430358313182936,0.1754843885383159
7567,PknJ,Ac2PIM2_c,1011,8,43.0,0.0,0.2945656577932236,0.319054185454349
7568,PknJ,salc_c,1011,8,28.0,0.0,0.201868294936199,0.23941123986491575
7569,PknJ,thr__L_c,1011,8,18.0,0.0,0.13430358313182936,0.1754843885383159
7570,PknJ,mcbts_c,1011,8,56.0,0.0,0.3671382996601692,0.37692009367436363
7571,PknJ,mshfald_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7572,PknJ,mshfaldox_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7573,PknJ,2mecdp_c,1011,8,22.0,0.0,0.16190705505742592,0.2055504909646496
7574,PknJ,meoh_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7575,PknJ,metsox__S__L_c,1011,8,31.0,1.0,0.022718254708260388,0.04839448921845009
7576,PknJ,metsox__R__L_c,1011,8,31.0,1.0,0.022718254708260388,0.04839448921845009
7577,PknJ,5mthf_c,1011,8,54.0,0.0,0.3564176962344236,0.36674385074951515
7578,PknJ,trdrd_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7579,PknJ,trdox_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7580,PknJ,mg2_c,1011,8,13.0,0.0,0.09868287082083739,0.13544973879685837
7581,PknJ,mhpglu_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7582,PknJ,hpglu_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7583,PknJ,mi3p__D_c,1011,8,19.0,0.0,0.1412779752113312,0.18311093410507603
7584,PknJ,mmcoa__R_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7585,PknJ,2mop_c,1011,8,20.0,0.0,0.14820315283059465,0.19023375758833885
7586,PknJ,ppal_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7587,PknJ,man_c,1011,8,18.0,0.0,0.13430358313182936,0.1754843885383159
7588,PknJ,mndn_c,1011,8,33.0,0.0,0.23388548566561573,0.27217550687299963
7589,PknJ,tre_c,1011,8,19.0,0.0,0.1412779752113312,0.18311093410507603
7590,PknJ,mppp9_c,1011,8,20.0,0.0,0.14820315283059465,0.19023375758833885
7591,PknJ,5mta_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7592,PknJ,5mtr_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7593,PknJ,meroacidACP_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7594,PknJ,meroacidcyc1ACP_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7595,PknJ,mmeroacidACP_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7596,PknJ,mmeroacidcyc1ACP_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7597,PknJ,kmeroacidACP_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7598,PknJ,kmeroacidcyc1ACP_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7599,PknJ,mmmeroacidACP_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7600,PknJ,mkmeroacidACP_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7601,PknJ,mycolate_c,1011,8,32.0,0.0,0.2275735226226958,0.2659155764641788
7602,PknJ,mmycolate_c,1011,8,32.0,0.0,0.2275735226226958,0.2659155764641788
7603,PknJ,kmycolate_c,1011,8,32.0,0.0,0.2275735226226958,0.2659155764641788
7604,PknJ,mmmycolate_c,1011,8,30.0,0.0,0.21481294665749673,0.25266154480162845
7605,PknJ,mkmycolate_c,1011,8,31.0,0.0,0.22121610305580455,0.2595810356845302
7606,PknJ,mssg_c,1011,8,40.0,1.0,0.03675983692571224,0.06746288571508056
7607,PknJ,dnad_c,1011,8,39.0,0.0,0.27081819430824944,0.2977597861844585
7608,PknJ,na1_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7609,PknJ,nac_c,1011,8,20.0,0.0,0.14820315283059465,0.19023375758833885
7610,PknJ,nicrnt_c,1011,8,25.0,0.0,0.18210120037654814,0.2282267964031082
