,Pantothenate and CoA Metabolism,whole_metabolism,"Alanine, Aspartate, and Glutamate Metabolism",Pyruvate Metabolism,Cofactor and Prosthetic Group Biosynthesis,Fatty Acid Metabolism,Arabinogalactan biosynthesis,Arginine and Proline Metabolism,Urea Cycle,"Valine, Leucine, and Isoleucine Metabolism",Citric Acid Cycle,Riboflavin Metabolism,Glycolysis/Gluconeogenesis,Alternate Carbon Metabolism,Purine and Pyrimidine Biosynthesis,Folate Metabolism,Nucleotide Salvage Pathway,Sulfur metabolism,Glycerophospholipid metabolism,Cysteine and methionine metabolism,Membrane Metabolism,Redox Metabolism,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Other Amino Acid Metabolism,Transport,Histidine Metabolism,Oxidative Phosphorylation,Polyprenyl Metabolism,Miscellaneous,Threonine and Lysine Metabolism,Pentose Phosphate Pathway,Mycolic Acid Biosynthesis,Fructose and mannose metabolism,Phenolic glycolipid biosynthesis,Peptidoglycan Metabolism,Glyoxylate Metabolism,Inositol phosphate metabolism,Cholesterol degradation,Thiamine Metabolism,Propanoate metabolism,Propanoate Metabolism,Beta oxidation of unsaturated fatty acids,Arabinogalactan bioynthesis,tRNA Charging,p-HBAD biosynthesis,L-alpha-aminoadipic acid (L-AAA) biosynthesis,Lipid metabolism,Glycerolipid metabolism,Carbon metabolism,Mycobactin biosynthesis,Spermidine biosynthesis,Others,Starch and sucrose metabolism,Ergothioneine biosynthesis,Cofactor,Mycolic acid pathway,Nicotinate and nicotinamide metabolism,Unassigned,Degradation/Utilization/Assimilation,Fatty acid biosynthesis,Lipopolysaccharide Biosynthesis / Recycling,ko_max_growth,pagerank,eigenvector,betweeness,closeness,reaction_pagerank,reaction_eigenvector_centrality,reaction_betweeness_centrality,reaction_closeness_centrality,fva_min,fva_max
Rv3627c,9.802811084784315,56424.08075290297,22.600747623958508,206.06106773955506,97.417087327567,9856.352215294053,4.111597226960977,2.3794248322011486,3.48109616329194,94.17911500331311,31.88060069073081,4.044684950436946,219.45431589490462,3.1253051881694365,95.19635254949932,5.261991591826016,4.229478033761446,1.8414399445348142,12.04606067894539,16.71911453657381,120.88536253441724,18.156392950254613,8.112348430978072,9.564387376231029,44.58234761416664,9.420824438547223,76.31734054700998,107.75283836639319,2.476982113549228,0.11882819746174955,0.8788635717871418,33.68819926664691,inf,,23.62065882049625,4.261962557735789,2.6465260491941027,79.60347456494881,6.648263498727814,1.8385500005555933,1.3510617329848205,3640.8599250391794,inf,,,,8.105891536935289,1.1252076392335681,0.07827419408348024,inf,,7.67177340940988,1.0263196729552373,1.9735986667537746,,2.741746528186756,3.3933987003593478,,,,0.599437649051328,0.0,0.0021046133950955556,0.07700383323331186,0.0011699778368971124,0.04234524014586041,0.0010091840089336058,0.03578884480630317,5.1385585668641924e-05,0.6363505340368034,0.0,0.00031224463081650026
Rv2911,9.314991833632504,48036.07149965431,15.178056429990457,23.28957953019374,81.42736697301866,9528.746795192446,2.317792225704561,1.5604096629889475,2.6259197076347345,64.06628255054765,18.745799505688666,5.418515795933823,17.81407537124009,2.899173166311621,45.14555290100109,6.774910192753365,2.2778071173378978,1.750180518439873,8.351474138223917,17.003887091594326,118.24714833955666,25.689934355081174,6.552994647899827,6.504057523859353,77.93676680897941,4.108740356101842,50.89378612361042,5.324869606550683,4.8664786729147265,0.5033168055107984,0.6055250236357571,48.62074011225056,2.074429773296467,,9.4781185839405,3.2318762671020598,2.116071899773753,107.70840043442074,4.2776812553308785,0.9260064030754841,0.696723996868387,3583.573956883196,0.32326399227742275,,,,3.7797228319849987,0.6390543548006377,0.09403694842183109,78.75439463530347,,1.3682695200678,1.285318688883821,1.5996834098448316,,2.346699120978126,1.8608657309624315,,,,0.6526940878772638,0.016564701900079918,0.0008840905533933199,8.642756291907323e-05,0.0016991269040392155,0.0320578413123444,0.0007335574341117584,0.02131227401823293,8.01994905935776e-05,0.5660421416994039,0.0,0.0
Rv0772,88.19594651782685,45016.00179115955,22.456211635848526,175.1229348438706,47.7842902865771,9548.76642354749,3.2893578175835194,2.489787636770607,2.5998275199441334,57.30983005149736,32.09491766207097,7.3148537307082755,173.30315126961852,2.6026394272508546,29.105215915221248,9.319770765787842,2.8776522456128877,0.9253230007725551,10.050297542704856,16.741254981612133,112.30026925435813,36.99804123766145,8.288062334477877,5.741751372659482,57.70492828262053,10.606797298250429,52.808195192328455,33.21889044649964,5.234756774018189,0.3194048452969533,0.781749370143317,40.632067785711214,inf,,20.815901085988024,2.7370146034849214,1.249863600631359,77.19666393767444,9.221430878941005,2.19482262989369,0.5830274055119025,3775.9504468092186,inf,,,,8.156153482044466,0.980484089666996,0.4887396483758854,inf,13.874599248263731,4.830109584161999,1.2694170821447184,2.385019819907998,,3.525151690566593,3.072709236823592,,,,0.4389419291254493,0.0,0.001375983784924904,0.0014710273078089534,0.004262441983059239,0.03624166405430781,0.00121160449532124,0.03883794398974196,0.00046568821973150715,0.6800146314229059,0.00670911673061308,0.008703459021981151
Rv0809,85.74233832589611,53008.70010890355,26.365147962090568,100.34147117480565,89.87183190640775,10185.520021147737,2.336175731156599,2.8141279197228943,4.013060725045713,138.2799942663122,39.470979484736894,9.483068867480325,87.79319384897322,3.65171811904587,76.86259540848614,12.1590122181669,4.8519091173771445,1.6100325137751899,53.125646860636635,21.943519478996883,119.17761555778532,30.911902973805425,12.421513144668284,13.939373025357462,141.66437807416347,10.095263915037762,48.82835679967614,103.98481189543024,2.5326849353931316,0.5720360507772241,1.228528089108806,28.24418242465341,inf,,19.746660450533934,6.258221737675364,1.8185317732911603,111.69994394570875,9.126009521506791,2.4587490424589302,1.3207692774417958,8401.798189978437,inf,,,,19.275437763316138,1.0404684336996828,0.43196684068364916,inf,13.57256603568835,7.774329284069991,1.6567020548346356,2.9831327502785303,,4.39632571102277,3.303338730464269,,,,0.8268082306101895,0.0,0.001375983784924904,0.0014710273078089534,0.004262441983059239,0.03624166405430781,0.0012050935537900645,0.03871345223001181,0.00045007289945084967,0.6784882237204976,0.006709116730610873,0.008703459021981868
Rv1603,16.764483790358515,56528.04990102309,35.13395622410359,48.84261265990797,91.85127078125261,12699.633691278856,4.602715610873776,3.6359866875079896,4.033552613366481,80.24848709925891,39.07736043740552,3.80129990308987,47.97694195486141,3.326393550798855,36.16679519775643,4.770393316994312,3.6058481059653227,0.7228444252124832,19.549353693898002,23.734131484255048,118.6513066067115,37.88169233420757,12.937987142684689,8.080764800704529,66.82272310829303,inf,41.09349382075303,7.573299330985658,2.190090674440935,0.4810961808704083,2.095092708706474,36.06242293408139,inf,,25.390526985816194,3.847159291176975,0.8683228965377701,119.92531774762215,7.877713595978886,1.2637950936876257,1.2995781261221362,5697.254413474211,inf,,,,10.046281215696206,0.6951669833427501,0.3143607107864246,inf,14.50060350029431,1.9624511017180133,3.6746676082290652,inf,,3.5819401340354946,3.518018316787927,,,,0.36922120476573855,0.0,0.0021006643959511585,0.07642723106838259,0.0005962159784995901,0.0423573877585995,0.00012681379311274812,8.728665911377208e-05,2.2934771894244227e-08,0.41879667983024826,0.0003166806579853478,0.00833628928972657
Rv1606,13.822071644178441,51527.88482096775,30.934393236936266,72.70608117729451,63.16840455068411,10403.359652707531,4.117906711500558,1.550191958055562,2.360917595002939,80.62604457673844,15.149999684244545,4.626341525969258,58.038091232227686,3.2051697790953155,59.99623121310091,6.082545880496185,3.730167185920421,2.1747006892300464,8.461096931188967,23.068557067129525,117.97474108770854,21.817495602359976,9.443023503517448,8.361550537998257,79.53185377181686,79.25709657289701,45.2329696122482,10.654589954655023,2.3734963277934584,1.025760112759932,1.5497247451019514,40.52271894312956,inf,,18.80661013359236,3.8903504150646615,3.1102691149245807,106.01166288260401,7.8570538388612405,2.105355412658806,0.9892434927035163,4799.093156459443,inf,,,,9.829713348265877,0.5767141890542435,0.15452838872668195,inf,,2.6257352124474154,2.6975690023118015,inf,,3.5089048828928213,3.0673393688460275,,,,0.8097991731187528,0.0,0.0017799335014712088,0.0001658439186178506,0.0005962159784995901,0.034519204843442716,0.0007690621963938726,0.020959834300269927,0.0005848476980834903,0.564193193966368,0.0011789288836358727,0.008336289289727716
Rv0780,90.31459063072417,49422.654425784196,21.824969025801217,132.4968491671012,82.18596547863275,9259.419159093026,4.80816348033167,0.7908422642243967,2.9669889680974673,99.65384178955449,39.42169346645982,4.861176729755751,153.16808868164495,3.025352633318968,67.33187751474695,5.85069990916045,3.4635104597727517,1.6181956218820661,31.30530036031133,15.930925348290495,93.80326978491229,29.838415870213854,10.135539684463271,9.640062986592879,59.42968444401085,9.713995496224967,89.66531110196605,33.59971845709191,2.154970055886233,0.4211926207459567,1.7929339187182853,34.745957143557284,inf,,20.809689312333976,4.3192737388864435,2.0559150398132764,97.60419469562902,7.5511784717182175,1.586790084672252,1.0930907812622275,3630.183135247072,inf,,,,6.8546909963788,1.4615485526834326,0.25952735133750804,inf,13.87305490089544,4.729094443888875,1.7842420158769028,2.028316100441603,,2.984752739400412,3.4426348087050114,,,,0.8301868445873493,0.0,0.0013662747713400866,0.001454583797482373,0.003651749006072793,0.03624286965716626,0.001222405816879631,0.038751978810623054,0.0008553530013289031,0.679632385986468,0.0066965275571637065,0.008690869848537884
Rv2122c,15.997375089213213,49429.00714394519,31.873651982189667,167.60787172968713,38.48504993043074,10884.966347127634,2.979574199866375,1.4735311483732692,2.142668845451406,145.209670680032,33.24448240642875,6.35240573819022,179.1014886161421,3.7356990834709123,41.1558551140642,7.766577898300343,3.1751247202159147,1.1930592326796738,18.024040999290893,19.680245760551543,115.36329494771908,26.169530381457704,12.131494847697265,14.535758911658602,88.31015484632745,inf,52.51899062608997,8.161630077925288,3.2731452594504913,0.38764012539462084,2.3152479800973196,40.61834905340851,inf,,21.998533792537835,6.586431718988283,1.664328036999419,103.86806848050621,4.409086259370261,0.8595618621804817,1.2661920414990417,4580.3692951653675,inf,,,,5.472035829475784,0.7201669293068031,0.2776024442681328,inf,14.585682954242902,1.4551718570725096,2.6546382580344656,inf,,2.1713945557932735,2.9675981338426918,,,,0.8244308092918409,0.0,0.0017799335014712088,0.0001658439186178506,0.0005962159784995901,0.034519204843442716,0.0013349094756467785,0.04158403708646098,0.0008673905996574684,0.716271335704933,0.0011789288836358727,0.008336289289726512
Rv2928,9.587376600162964,50828.78488236894,26.7012916560512,75.2177848869014,77.88174217315672,10942.650321366837,5.290557880608119,1.2739200832048099,2.804516459391442,180.47742905519019,19.488899742432267,5.698365244370856,72.47152395789483,3.9124225831107764,47.945969578906876,6.29565901515087,3.1227123921727795,0.5190947569565626,28.582388532772352,20.703435320185683,153.11361852601834,37.95684223435438,9.573215115756305,16.792674878408473,75.66769953784116,11.5996173410177,27.518899827375208,7.479967881677749,2.653312266014496,0.4188315423673468,1.4274535330840423,37.91889833267293,2.023909576329111,,8.552074821316268,8.030320862490319,0.9284525277058018,145.18041908154643,10.868633182866805,1.0573478586203473,1.960953795515007,7277.728983231404,1.4578238801040364,,,,20.43415257566977,0.7089620036259009,0.20509033698970308,58.12063482155,,5.383316682074648,2.0420837138786294,2.4885581410104556,,2.7756252487475352,1.9501929302755998,,,,0.4045868643188166,0.016564701900079918,0.0007690679707532175,2.676044234291234e-05,0.00041481032399079437,0.025219415985687207,0.0012809671196775205,0.04099176940158141,0.0008213634847524628,0.7013143936600502,0.0,0.0005843348528801282
Rv2932,14.536254930672467,56165.87984832153,24.948485324414612,32.17038897929367,44.71162169568677,8467.018751159629,3.770940438607617,1.6930546489081582,3.4010319526850035,113.25379716559674,37.498655586165604,5.643579044229193,39.76613449926245,2.688629524070261,84.35516443290167,7.319787468645326,2.5646675326999624,1.344535176098566,42.26144387102917,15.262033692305781,111.08000224502588,25.204823055693545,5.428858086638107,11.05275973973679,56.444379431982924,1.2856590789653948,34.649084301361015,6.611365636465604,5.107324824080533,0.526627658304916,-0.0584872324362382,40.370778469397884,1.4111491690387334,,3.7524862775904504,5.032009207753959,1.4696887956466491,80.07893756286742,3.7390604873919164,1.0655822078101589,1.4232782607511576,4236.351467107927,0.45497954577061195,,,,11.578464293964272,0.5107675704543432,0.2557494086269975,64.97731916057984,,3.3336017082271048,2.114062666353269,1.3663206323201078,,2.1432137213931854,2.8817274435017532,,,,0.8154492837129966,0.016564701900079918,0.0013893218579037474,0.00018108408574517377,2.891706585512749e-05,0.026014437442841674,0.0014002272166124805,0.04213735242475366,0.001129932115528,0.7336565622997128,0.0,0.000624169986719386
Rv2934,9.14963735638572,53283.028258816725,34.96406060747397,47.813108114264274,66.72165691939051,7209.909894164787,4.314402013181154,1.3128952097463291,2.3644839478129387,148.16125312643592,45.763155167209305,7.6697397710127335,42.23687965368838,3.32917880678182,72.33182959718793,9.651498472844017,2.964652119566185,1.3846690697713924,7.052232804639785,21.21294137393425,103.30451689756183,20.81569543146746,10.698850572427757,14.767971541570619,133.4160138685312,3.3818466106951166,46.55270200996534,7.5078534951974465,3.105897594823848,0.3699723357110322,0.7927061478063612,34.739996353690806,1.0314641901040942,,8.564695467957224,6.6771624530102685,1.8681717322224856,66.24382827608586,4.1563840116211805,0.7144567484509932,1.379447568068018,3713.4491874240884,0.3398501609156126,,,,11.143620118717807,0.7349311956848942,0.061591927910532904,63.46076615002091,,1.8695935323613009,2.0467580675894244,1.524179962380801,,3.210750543786123,2.0750758267857776,,,,0.6448212403447673,0.016564701900079536,0.0013893218579037474,0.00018108408574517377,2.891706585512749e-05,0.026014437442841674,0.0014002272166124805,0.04213735242475366,0.001129932115528,0.7336565622997128,0.0,0.000624169986719386
Rv2933,5.786590236657642,43826.80708223335,28.671112744370625,21.81677540554223,47.514391651591716,10068.666899236572,3.638014349621696,0.6577563235661634,2.2173133331429726,130.72694472316553,54.99447133366794,7.899581214024582,20.025864132019375,2.9694491243534884,50.974850963956115,9.821924071774845,3.2524761097740287,1.4257855702637043,7.1736229848454665,17.145668484687995,111.02137709818288,13.34099412532309,5.888486138314721,11.62475569420435,126.82262565778896,3.795177332753722,37.20968474398787,6.989698099268732,2.7643552441140202,0.45053691022503095,0.41693739226772153,39.17138122932475,2.3465498041431037,,6.534670688679611,4.975906025750079,1.8116963480177006,92.01698696940655,3.945240661002976,0.9919735609055597,1.4608369698983503,4612.314088020406,0.5455903482346194,,,,9.225034296099464,0.7954943203690273,0.3123642898186912,68.85466607219519,,1.563812757584114,1.7795022597418297,2.26349618800698,,2.082606567384172,1.9753006295150413,,,,0.8305105053326381,0.016564701900079918,0.0013893218579037474,0.00018108408574517377,2.891706585512749e-05,0.026014437442841674,0.0014002272166124805,0.04213735242475366,0.001129932115528,0.7336565622997128,0.0,0.000624169986719386
